g,Male,Female,sum_nonBinary
Austin Lean Startup Circle,2,0,0.0
Austin SEO,5,0,0.0
Austin Startup Founder 101,12,0,0.0
Austin Unity Group,4,0,0.0
Bleeding Edge Web,23,0,0.0
Cloud Austin,15,0,0.0
Google Developer Group Austin,2,0,0.0
Open Austin,17,9,0.0
OpenStack Austin Texas,7,1,0.0
Refresh Austin (Web Design & Developer Meetup),17,2,0.0
The Austin WordPress Meetup Group,17,13,0.0
