"","applicable","male","female","nonBinary","desc","group","name","time"
"11",0,0,0,0,"<p><a href=""http://groups.google.com/group/washington-dcphp-group""><b>Sign up for our mailing list</b></a> for PHP discussion and more meeting info.</p> <p>A chance to relax, enjoy some food and beverages of choice, and socialize with other PHPers who find northern Arlington more convenient. Please plan on purchasing your own food and beverage if you wish any, and RSVP by 5:30PM so we can get the right table size.</p>","DC PHP Developer's Community","Ballston DC PHP Social Subgroup",1456268400000
"12",0,0,0,0,"<p>Hello there, welcome to the monthly DC PHP beverage subgroup. </p> <p>We meet last Tuesday of the month at the Meridian Pint which is located at [masked]th St NW, Washington, DC. If you're coming via metro, Columbia Heights is the nearest stop, from there it's a 5-10 minute walk, coming out of the metro go east on Irving St. and then hang a left onto 11th St., the Pint is located directly on the corner of 11th and Park. If you're driving you should be able to find plenty of parking on that block. </p> <p>Once you get there ask the server about the PHP meetup, or keep your eyes open for the blue fuzzy elePHPant mascot. </p> <p>Eric.</p>","DC PHP Developer's Community","DC PHP Beverage Subgroup (in DC)",1.456272e+12
"13",0,0,0,0,"<p>Join us Wednesday, February 24th, 2016 as we discuss the latest tools of the trade. We’ll cover tools that allow for network enumeration as well as service identification and exploitation. We are coordinating with vendors for additional tools and will update everyone accordingly.</p> <p><b>Meetup Location</b>: <br/>WeWork Crystal City<br/>2221 South Clark St.<br/>Arlington, VA 22202</p> <p>This meetup will be held on the 12th floor, personnel will be onsite to assist.</p> <p><b>Meetup Sponsorship</b>: With over 2,300 members, our group is full of Information Security professionals enthusiastic about staying abreast to new trends and changes in the industry. The Meetup group also allows vendors and speakers a chance to promote their products or themselves, while giving our members a chance to receive training in addition to potential member discounts to conferences and various gatherings. </p> <p><b>Parking</b>: Parking is available at[masked]rd St., Arlington, VA 22202. (Crystal City Shops).</p> <p>The D.C. Cyber Security Professionals Meetup group is our way of giving back to the community. All efforts made to help us continue our movement are greatly appreciated. We rely on member contributions to cover our costs and make this community great! </p> <p>V/r </p> <p>The Cover6 Solutions Team </p> <p><b>Email</b>: [masked]  <br/><b>Facebook</b>: <a href=""https://www.facebook.com/dccyberwarriors""><a href=""https://www.facebook.com/dccyberwarriors"" class=""linkified"">https://www.facebook.com/dccyberwarriors</a> <br/></a><b>Twitter</b>: <a href=""https://twitter.com/dccyberwarriors""><a href=""https://twitter.com/dccyberwarriors"" class=""linkified"">https://twitter.com/dccyberwarriors</a> <br/></a><b>Web</b>: <a href=""http://www.cover6solutions.com/meetup/""><a href=""http://www.cover6solutions.com/meetup/"" class=""linkified"">http://www.cover6solutions.com/meetup/</a> <br/></a><b>Donations</b>: <a href=""http://mkt.com/cover6""><a href=""http://mkt.com/cover6"" class=""linkified"">http://mkt.com/cover6</a></a></p> <p>#C6S @DCCyberWarriors #DCMeetup1604</p>","D.C. Cyber Security Professionals","DCMeetup1604 - Tools, tools, tools",1.456353e+12
"14",0,0,0,0,"<p>Come code, learn, and be merry!</p> <p>This is a casual ""geek gathering"", where you can hack on a node.js project, get help/advice, or ask questions about anything node.js related. Anyone working with node.js at any level (or anyone wanting to work with it) is welcome.</p> <p>Attendance is free, and food and drink will be provided by StrongLoop. Please keep your RSVP up to date and we will make sure you are all well fed.</p> <p>As usual, we’ll have three main groups:</p> <p><br/>* Node newcomers! We will help you get started with node through <a href=""http://nodeschool.io/""><a href=""http://nodeschool.io"" class=""linkified"">http://nodeschool.io</a></a></p> <p>* Node advanced - We will break into groups to work on NodeSchool Electives <a href=""http://nodeschool.io/""><a href=""http://nodeschool.io"" class=""linkified"">http://nodeschool.io</a></a></p> <p>* Node ninjas - People working on an open-source project of their own and want help.</p> <p>Of course if you have your own thing in mind, feel free to bring it along and work on it with some great company!</p> <p>======= TIMELINE ======= <br/>6:30 pm - 7:00pm: Socialize &amp; gather <br/>7:15pm - 7:30pm: Brief introductions and goals for the evening <br/>7:30pm - END: Pair up and work on completing your goals<br/>END - END-ER: Grab a table at the Laughing Man to unwind and discuss!</p>","node.dc","Node Night Strikes Back",1457047800000
"15",0,0,0,0,"<p>NOTE: This is a special SPDC/PyDataDC joint event. Please RSVP on the PyDataDC event page</p> <p><a href=""http://www.meetup.com/PyDataDC/events/228980787/""><a href=""http://www.meetup.com/PyDataDC/events/228980787/"" class=""linkified"">http://www.meetup.com/PyDataDC/events/228980787/</a></a></p> <p>to get an accurate count for food and drinks. FYI - The RSVP limit here is 0 (zero). Thank You.</p> <p><br/>Please join us in this special SPDC event to kick off the PyData DC meetup launch with Travis Oliphant, the Co-Founder and CEO of Continuum Analytics. Travis will be speaking about Scaling Up and Scaling Out PyData.</p> <p><br/>Travis has a Ph.D. from the Mayo Clinic and B.S. and M.S. degrees in Mathematics and Electrical Engineering from Brigham Young University. Since 1997, he has worked extensively with Python for numerical and scientific programming, most notably as the primary developer of the NumPy package, and as a founding contributor of the SciPy package. He is also the author of the definitive Guide to NumPy.</p> <p><br/>You can read more about Travis and Continuum here:</p> <p><a href=""https://www.continuum.io/people/travis-oliphant""><a href=""https://www.continuum.io/people/travis-oliphant"" class=""linkified"">https://www.continuum.io/people/travis-oliphant</a></a></p> <p><br/>We hope you can attend this exciting event! Please RSVP so we can plan accordingly.</p> <p><br/>Note NumFOCUS and Capital One are sponsoring this event. If you are interested in sponsoring future events or have suggestions please get in touch with us either through meetup or on twitter @PyDataDC</p> <p><a href=""https://twitter.com/PyDataDC""><a href=""https://twitter.com/PyDataDC"" class=""linkified"">https://twitter.com/PyDataDC</a></a></p> <p><br/>Agenda</p> <p>6:30 - 7:00 - Mingle and Eat</p> <p>7:00 - 7:15 - Intros and Announcements</p> <p>7:15 - 8:30 - Presentation, Q&amp;A</p> <p>8:30ish - Data Drinks (TBD)</p>","Statistical Programming DC","Scaling Up and Scaling Out PyData",1457652600000
"16",0,0,0,0,"<p><b>ALL - UNFORTUNATELY THIS EVENT IS NOW FULL SO WE ARE NOT ACCEPTING ANY MORE RSVPS!  IF YOU MISSED THIS ONE, STAY TUNED FOR FUTURE EVENTS.  </b></p> <p><b>~~~~~~~~~~~~~</b></p> <p><b><br/></b></p> <p><b>THIS IS A FREE EVENT HOSTED BY IBM BUT RSVP via Meetup won't get you in.  YOU MUST REGISTER HERE: ibm.com/ascdc </b></p> <p><b><br/></b></p> <p><b>Hands on introduction to Apache Spark for Data Engineers, Data Scientists and Application Developers</b></p> <p><b><br/></b>This IBM sponsored Proof of Technology workshop will give clients a full day of education on Apache Spark including hands on education. The PoT will have a detailed overview of Apache Spark Data Science including hands on exercises. The Lab will be done within a data science notebook and include import of NFL data and Weather data to perform several data analyses on the effect of weather on NFL team performance.</p> <p><br/><b>WHO SHOULD GO: </b>Anyone interested in learning more about Apache Spark. <b>PREREQUISITE:</b> A working knowledge of Coding (Preferred Python and/or Scala), understand distributed computing, Spark and SQL. WHAT TO EXPECT: Expect to spend a full day of lecture and hands on exercises attacking real-world data challenges using Apache Spark. In 8 hours you will learn the basic essentials of Apache Spark and why it's important to your organization. This workshop will focus on data wrangling and data pipelines, using techniques such as natural language processing, machine learning, and streaming.<br/><b>READ THE FULL AGENDA WHEN YOU REGISTER TODAY: </b>ibm.com/ascdc</p> <p>

<b>Tuesday, March 15, 2016<br/>8:30 – 9:00 AM - Check-in and coffee<br/>9:00 am – 4:30 pm - Apache Spark Overview and Hands on Labs (lunch provided)</b></p> <p><br/><b>There is no charge for this session.</b><br/>IBM-TEC – 8401 Greensboro Drive, 1st Floor, McLean, VA 22102</p> <p><br/><b>Metro &amp; Parking Information</b> - Springhill Station on the Silver line is the closest Metro stop and is a 3/10 mile walk to the IBM-TEC building. There is on-site parking In the garage beneath the building at a cost of $10 per day.</p> <p><br/><b>Notice to Government Employees &amp; Representatives - Food &amp; Refreshments: </b>At this IBM function, IBM is providing food and refreshments and considers this a normal business courtesy. Some Federal, State, or Local Government Agencies do not permit their employees to accept food or refreshments from contractors doing business with them. If your agency requires, or if you desire, you may pay the fair market value for the food and refreshments you consume. A receipt will be provided upon request.</p> <p><br/><b>Notice to Government Employees &amp; Representatives - IBM Training &amp; Education:</b> IBM conducts marketing presentations, executive briefings, product exhibitions and demonstrations, seminars and other sessions to familiarize customers and potential customers with IBM solutions to information processing problems. In accordance with established IBM practices, these sessions are provided at no charge. Some government agencies permit acceptance of this training by employees; other agencies may not. You should ascertain whether your agency's standards of conduct regulations permit you to attend this IBM-sponsored education or training session, as it is not IBM's intent or desire that either you, your organization, or IBM violate any statutes or regulations. Under IBM's established business practices, the fair market value for nonbillable IBM education or training session is zero, as it is normally provided to commercial customers, government customers and potential customers on a no-charge basis. The offer of IBM training or education made in conjunction with this notice is void where prohibited by federal, state or local government statute or regulation.</p>","Washington DC Area Apache Spark Interactive","Apache Spark Proof of Technology by IBM",1.458045e+12
"17",0,0,0,0,"<p><b>Join us for March's Project Night!</b></p> <p>Project Nights are informal gatherings where attendees can bring their own projects and work together (or just next to each other). We'll have at least one experienced Python web developer on hand to help less experienced people with their projects.</p> <p>We host these project nights each month in addition to our normal talk meetups.</p> <p><b>Agenda</b></p> <p>• 6:30-6:45pm - Arrive, eat and catch up (thank <a href=""http://agencychief.com/"">Chief</a> for the food!)</p> <p>• 6:45-7:00pm - Lightning talks (from whoever wants to present)</p> <p>• 7:00pm-8:45pm - Coworking</p> <p><b>What could you do at project night, you ask?</b></p> <p>• Work on your own side projects with other people doing the same </p> <p>• Get help learning Python (or Django or Flask) from more experienced developers. (Or, help mentor other attendees if you're already a whiz)</p> <p>• Ask for a code review for a project you've been working on by yourself </p> <p>• Talk through a particular problem with someone who has solved it before </p> <p>• Just hang out and have some cool conversations! </p> <p>We are cross-listing this event with <a href=""http://www.meetup.com/DCPython/events/229053350/"">DC Python's Office Hours</a>, so please RSVP to only one so we can get an accurate headcount.</p>","Django District, etc.™","March Project Night",1.458081e+12
"18",0,0,0,0,"<p>Come share a cool idea or some code you've been working on! Post a short comment about what you'd like to share. Talks will be limited to 5 minutes, and we'll make sure there's a screen connection if you would like one.</p> <p>Food and drink will be provided by Fluencia, so all you have to do is show up, show off (or be impressed), and have fun!</p>","node.dc","Lighting talks!",1458253800000
"19",0,0,0,0,"<p>Q. What is <a href=""http://nodeschool.io/"">NodeSchool</a> ? </p> <p>A. Open source workshops that teach web software skills. </p> <p>There are 6 core NodeSchool workshops that teach the basic concepts of JavaScript, Node.js, npm, git... (javascripting, git-it, Scope Chains &amp; Closures, learnyounode, How to npm and stream-adventure) and electives, these are to learn popular libraries or styles of writing Node.js.  You will be paired off with another attendee at your level and together you will go through one of the NodeSchool workshops with support from your friendly, neighbohood mentors.</p> <p>Now that you know that, come and learn some Node.js flavored development! No previous experience required.  You will be paired off with someone at your skill level that is working on the same workshop you are. There will be mentors available to assist you if you need a hand completing a specific exercise within the 6 core workshops, or to answer your other node.js questions. </p> <p><br/>Prerequisites:</p> <p><br/>• bringing a laptop <br/>• <a href=""http://www.nodejs.org/download/"">Install Node.js</a> on that laptop (if you are having issues installing please tell a mentor when you arrive, so we can get you working).</p>","node.dc","NodeSchoolDC - March 2016",1458406800000
"20",0,0,0,0,"<p>Hello there, welcome to the monthly DC PHP beverage subgroup. </p> <p>We meet last Tuesday of the month at the Meridian Pint which is located at [masked]th St NW, Washington, DC. If you're coming via metro, Columbia Heights is the nearest stop, from there it's a 5-10 minute walk, coming out of the metro go east on Irving St. and then hang a left onto 11th St., the Pint is located directly on the corner of 11th and Park. If you're driving you should be able to find plenty of parking on that block. </p> <p>Once you get there ask the server about the PHP meetup, or keep your eyes open for the blue fuzzy elePHPant mascot. </p> <p>Eric.</p>","DC PHP Developer's Community","DC PHP Beverage Subgroup (in DC)",1459292400000
